하/V
적/N
등/N
및/A
추진/N
협력/N
위하/V
화/N
이/V
북한/N
남북/N
경제/N
강화/N
평화/N
있/V
지원/N
외교/N
확대/N
되/V
통일/N
대하/V
국민/N
안보/N
군/N
통하/V
문제/N
국가/N
한반도/N
성/N
관계/N
구축/N
들/N
국제/N
수/N
정책/N
적극/N
지역/N
간/N
시키/V
발전/N
체제/N
개선/N
사회/N
공동/N
개발/N
교류/N
체계/N
국방/N
군사/N
필요/N
해결/N
문화/N
재외/N
동포/N
ㅇ/N
우리/N
복무/N
한/N
제도/N
2/N
3/N
핵/N
것/N
나가/V
비/N
중/N
1/N
년/N
세계/N
4/N
분야/N
환경/N
남/N
사업/N
마련/N
미/N
군인/N
기술/N
방안/N
기반/N
실현/N
이산가족/N
확보/N
권/N
정부/N
민족/N
참여/N
동북아/N
5/N
대북/N
노력/N
전략/N
신뢰/N
보호/N
인권/N
대응/N
만/N
정착/N
상호/N
합의/N
지속/N
제/N
실천/N
대화/N
안정/N
해외/N
수준/N
단계/N
설치/N
주요/N
보훈/N
일/N
약속/N
주민/N
보장/N
시대/N
통합/N
한국/N
활성/N
조성/N
형/N
협정/N
시설/N
교육/N
가능/N
구조/N
전력/N
유지/N
실질/N
민간/N
산업/N
6/N
역량/N
지대/N
현재/A
개방/N
활동/N
중심/N
동맹/N
내/N
기간/N
자유/N
대비/N
회담/N
미래/N
조정/N
수립/N
현실/N
훈련/N
효과/N
전환/N
효율/N
증진/N
공동체/N
새롭/V
관련/N
역할/N
건설/N
한미/N
확충/N
북핵/N
육성/N
정상/N
위협/N
활용/N
방위/N
통상/N
따르/V
내용/N
기구/N
만들/V
장병/N
무장/N
관리/N
첨단/N
인력/N
연합/N
다/N
중국/N
유공자/N
계획/N
기대/N
전문/N
상황/N
주도/N
복지/N
운영/N
보상/N
선진/N
기업/N
기여/N
대/N
새누리/N
개혁/N
제고/N
10/N
태세/N
수행/N
인도/N
장기/N
정치/N
원칙/N
재/N
받/V
함께/A
이/N
후/N
일본/N
변화/N
번영/N
국익/N
글로벌/N
수당/N
정보/N
협상/N
참전/N
모든/M
자원/N
무기/N
미사일/N
별/N
설립/N
시장/N
하/N
차원/N
지향/N
예비군/N
체결/N
능력/N
투자/N
확립/N
조기/N
연구/N
포괄/N
기본/N
시/N
의료/N
회복/N
취업/N
단축/N
미국/N
해소/N
연계/N
동시/N
성장/N
바탕/N
롭/V
대책/N
이상/N
안전/N
연결/N
세부/N
관광/N
다양/N
직업/N
개/N
네트워크/N
기회/N
선언/N
병영/N
구역/N
에너지/N
과정/N
병원/N
명/N
기능/N
국군/N
과학/N
이행/N
통제/N
책임/N
신/N
향상/N
제대/N
대폭/A
생활/N
일자리/N
명예/N
국회/N
전개/N
여건/N
포로/N
비핵/N
상봉/N
위원회/N
철도/N
의무/N
진출/N
구성/N
형성/N
7/N
인사/N
균형/N
러/N
완화/N
높이/V
없/V
구현/N
무역/N
역사/N
인/N
다자/N
개최/N
불/N
검토/N
예우/N
북/N
대상/N
우선/N
협의/N
원/N
과제/N
최/N
작전/N
전역/N
확산/N
구상/N
예산/N
완전/N
합의서/N
기준/N
더욱/A
병력/N
FTA/N
정비/N
전쟁/N
방문/N
다/A
유엔/N
전투/N
국/N
공정/N
가치/N
중요/N
정례/N
능동/N
특히/A
이탈/N
아니/V
21/N
고려/N
원조/N
점진/N
합리/N
청년/N
해/N
자/N
화해/N
인하/V
동아시아/N
이루/V
법/N
창출/N
각종/N
도입/N
제공/N
기초/N
개편/N
핵심/N
가/N
개월/N
아시아/N
주변/N
시스템/N
가/V
납북자/N
대처/N
발굴/N
사이버/N
조치/N
센터/N
국제기구/N
증대/N
국내/N
세기/N
체육/N
인상/N
강구/N
프로그램/N
대한민국/N
전시/N
대량/N
북방/N
조사/N
위기/N
교환/N
갈등/N
행정/N
협의체/N
한민족/N
처우/N
세대/N
업무/N
포함/N
사찰/N
민주/N
존중/N
역내/N
금강산/N
공공/N
이익/N
실리/N
통일원/N
위상/N
반드시/A
피해/N
전/M
방지/N
상/N
양성/N
긴장/N
병역/N
동의/N
군비/N
질서/N
전문가/N
억제/N
대학/N
나/N
도발/N
9/N
서비스/N
30/N
식량/N
정예/N
진단/N
경우/N
부대/N
진전/N
동질/N
주변국/N
니다/N
경협/N
맞/V
위/N
나아가/V
촉진/N
이용/N
크/V
가족/N
개성공단/N
군대/N
연방/N
인정/N
의하/V
서해/N
인식/N
그/M
ODA/N
조건/N
않/V
발생/N
계/N
범/N
분단/N
임기/N
경쟁/N
지지/N
규모/N
습/N
호혜/N
생태/N
추구/N
공조/N
절차/N
획기적/N
전통/N
접경/N
8/N
공화국/N
없이/A
러시아/N
당/N
대외/N
지/V
단지/N
시민/N
예술/N
복원/N
우주/N
민주주의/N
방송/N
오/V
확고하/V
사병/N
요구/N
유도/N
각/M
혁신/N
세/N
보다/A
우리나라/N
정년/N
장비/N
운용/N
질/N
안/N
목표/N
인류/N
근무/N
군사력/N
투명/N
장관/N
기후/N
왕래/N
한일/N
감축/N
관하/V
비롯하/V
확장/N
집약/N
배치/N
심화/N
만큼/N
주택/N
준비/N
조직/N
이루어지/V
살상/N
못하/V
달성/N
부사관/N
높/V
협조/N
한/M
소통/N
가입/N
부처/N
고/N
여성/N
회의/N
학술/N
군축/N
재개/N
25/N
정신/N
서울/N
대결/N
규제/N
남북한/N
사고/N
차/N
사항/N
한·미/N
상시/N
민/N
상설/N
민주당/N
사기/N
틀/N
도시/N
종합/N
임무/N
법률/N
수출/N
양국/N
상응/N
더/A
위탁/N
간부/N
탈/N
현안/N
도모/N
재산/N
가동/N
실시/N
선도/N
신흥/N
다자간/N
미군/N
유치/N
또한/A
극대/N
지키/V
초/N
제거/N
정세/N
결합/N
우호/N
이후/N
중소기업/N
접근/N
고령/N
진행/N
적정/N
차질/N
집권/N
선진국/N
유해/N
영사/N
집중/N
속/N
공유/N
방법/N
점/N
대통령/N
방향/N
조/N
신장/N
0/N
독립/N
하사관/N
보건/N
강/N
내실/N
EU/N
현대/N
증가/N
미흡/N
병사/N
자녀/N
기존/N
보편/N
고향/N
획득/N
영토/N
지위/N
권익/N
이/M
진입/N
이해/N
열/V
실행/N
여군/N
지휘/N
일반/N
걸맞/V
단절/N
농업/N
다변/N
병행/N
방어/N
삶/N
집행/N
넓히/V
치료/N
축소/N
비리/N
도/N
방산/N
주한/N
긴밀하/V
입각/N
상태/N
하구/N
한강/N
연장/N
자본/N
헌신/N
개정/N
여/N
구체/N
우방국/N
성공/N
시간/N
최소/N
동반자/N
모색/N
양자/N
재난/N
금융/N
기금/N
내/V
정/N
부족/N
달러/N
부/N
생명/N
나라/N
설정/N
진료/N
통/N
반영/N
단체/N
최근/N
우수/N
특성/N
로/N
혁명/N
지급/N
50/N
때/N
완료/N
심사/N
제정/N
다음/N
용사/N
특수/N
조속하/V
관심/N
공군/N
희생/N
이전/N
국방부/N
자주/N
테러/N
제한/N
전면/N
행사/N
15/N
산하/N
당사자/N
보유/N
따라서/A
정체/N
체류/N
교민/N
인프라/N
불편/N
개척/N
송환/N
약/M
현역병/N
현/M
현행/N
24/N
항구/N
아세안/N
결정/N
최대한/N
주권/N
벨트/N
맞춤/N
신설/N
KAMD/N
추가/N
근절/N
부여/N
산림/N
에/I
도로/N
유기/N
서신/N
문민/N
도출/N
하나/N
강력/N
북미/N
제재/N
비준/N
그리고/A
디지털/N
