Cleaned Sentence
집 편세권 삼각 김밥 먹 싶 때 당장 잠옷 입 뛰쳐나가 수 거리 행복
요즘 뜨 중 희귀하 식물 기르 취미 생활 돈 벌 수 식테크
옛날 할머니 할아버지 정신없 돌아다니 닭질 좀 그만하 얌전히 고양이 바로 앉
시시콜콜하 이야기 서로 티키타카 잘 통하 상대 대하 호감 급속도 높아지
내 오늘 나토족 단어 알 말 행동 않 유형 직장인 뜻
옛날 크레이지 아케이드 때 준비 완료 안 누르 애 들 엄청 강퇴 타령하 내 당하 나 오지 기분 나쁘 누 준비 완료 안 나 기다리 화나
특히 초등학교 때 반 친구 들 조금 뒤떨어지 이상하 쉽 댕청이 부르 진짜 못되 친구 들 말하 거 보 나서 쌤 상황 일러주
요즘 드라마 남주 여주 서로 그림체 닮 것 같 그렇 더 캐미 살 그렇 보
인스타그램 가계정 이상하 디엠 자꾸 오 이 내용 신고하 계정 없애 수 한 번 알아보
김치찌개 좋 소주 역시 쭈삼이 나 고등학교 동창 들 무지 많이 먹
잘 보이 중요하 모임 나가 때 머리 발끝 한껏 꾸꾸꾸 스타일 꾸미
웃 던지 농담 진지하 받 진지충 들 분위기 좀 싸하 지
군대 먹 뽀글 한강 먹 라면 같 않 여자 애 먹 더 맛있 거 말
년 전 복면가왕 나오 그 사람 언제나 보 킹왕짱
오늘 부장 님 전쪽 오늘 회식하 일정 비우 놓 못 보 거 아마 지금 일정 말하 갑분싸 되 것 같
이제 총알 다 떨어지 가 주식 하락장 이래저래 고민 많이 들 이미 들어가 주식 떡락 하 빼 수 없 큰일 그렇 영끌족 싫 그냥 버티 수 없 보
새로 뜨 육아 관련 중 아이 재능 발견하 체계 적 학습 시키 엄마 알파맘 뜻
사소하 일 그것 스불재 상상 못하
내 오늘 도세권 것 알 도서관 역세권 합성어 도서관 가깝 거리 곳 뜻하
되도록 문찐 않 친구 들 이슈 이야기 뜨 커뮤니티 종종 보 노력하
여행 가 일 주일 전 세세하 계획 짜 막상 여행 당일 날 댕청이 계획표 안 들 오 나 진짜 허접
집 서울 시내 들어오 거 도쿄 집 사기 다르 바 전혀 없 대 박
